Accounts,On/Off,Wine,Date,Address,Lat,Lon
NRG - Planet Wine,off,Shenandoah Valley Cabernet Franc,02/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Wardman Wines,off,Five Forks,02/21,"625 Monroe St. NE, Ste.#A7, Washington, DC 20007",38.9320518,-76.9966613
Drink PLG,off,Young Wine,02/21,"492 Flatbush Avenue, New York, NY 11225",40.662059,-73.962005
Drink PLG,off,Foothills,02/21,"492 Flatbush Avenue, New York, NY 11225",40.662059,-73.962005
Foods of All Nations,off,Shenandoah Valley Cabernet Franc,02/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Friendly City Food Co-op,off,Foothills,02/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
J Emerson,off,Foothills,02/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
J Emerson,off,Shenandoah Valley Cabernet Franc,02/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Pendulum Fine Meats,off,Shenandoah Valley Cabernet Franc,02/21,"820 Shirley Avenue, Norfolk, VA 23517",36.8683635,-76.2987524
Pendulum Fine Meats,off,Eluvium,02/21,"820 Shirley Avenue, Norfolk, VA 23517",36.8683635,-76.2987524
Second Bottle Wine,off,Foothills,02/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Vino Market,off,Five Forks,02/21,"3730 Winterfield Rd., Midlothian, VA 23113",37.5535346,-77.6685934
Vino Market,off,Foothills,02/21,"3730 Winterfield Rd., Midlothian, VA 23113",37.5535346,-77.6685934
Virginia Cheese Company,off,Five Forks,02/21,"501 Botetourt Street, Norfolk, VA 23510",36.8528816,-76.2961736
Commune - Norfolk,on,Foothills,02/21,"759 Granby St., Norfolk, VA 23510",36.8562717,-76.2885787
Fat Canary,on,Five Forks,02/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Young Wine,02/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Prosperity Kitchen & Pantry,on,Foothills,02/21,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Taste - Oceanfront,on/off,Eluvium,02/21,"3603 Pacific Avenue, Virginia Beach, VA 23451",36.8641917,-75.9803595
Whole Foods - Short Pump,on/off,Foothills,02/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
Whole Foods - Virginia Beach,on/off,Foothills,02/21,"1800 Laskin Road, Virginia Beach, VA 23454",36.8509319,-76.0281576
Whole Foods - West Broad,on/off,Foothills,02/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
Mom's Apple Pie - Hill High,off,Shenandoah Valley Cabernet Franc,02/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Founding Farmers - Tyson's Corner,on,Rosé,02/21,"1800 Tyson's Blvd., McLean, VA 22102",38.9223637,-77.2224625
Mona Lisa,off,Foothills,02/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Mona Lisa,off,Petit Manseng,02/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Mona Lisa,off,Five Forks,02/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
St. Vincent,on,Petit Manseng,02/21,"3212 Georgia Avenue NW, Washington, DC 20010",38.9304348,-77.0237689
Tail Up Goat,on,Petit Manseng,02/21,"1827 Adams Mill Rd. NW, Washington, DC 20009",38.923447,-77.043176
Whole Foods - Old Town,on/off,Foothills,02/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Balducci's - Alexandria,off,Young Wine,02/21,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Balducci's - Alexandria,off,Shenandoah Valley Cabernet Franc,02/21,"600 Franklin St, Alexandria, VA 22314",38.7978102,-77.0479011
Brooklyn Wine Exchange,Off,Five Forks,02/21,"138 Court Street, Brooklyn, NY 11201",40.6893227,-73.992801
Founding Farmers - DC,on,Rosé,02/21,"1924 Pennsylvania Ave. NW, Washington, DC 20006",38.8999959,-77.0443929
Each Peach Market,on/off,Foothills,02/21,"3068 Mt Pleasant St NW, Washington, DC 20009",38.928548,-77.0375272
Whole Foods - Arlington,on/off,Five Forks,02/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Ellwood Thompson,off,Petit Manseng,02/21,"4 N Thompson St, Richmond, VA 23221",37.5574421,-77.4886194
Greenwood,off,Petit Manseng,02/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Market Street Wine Shop,off,Chardonnay,02/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Wine Seller - Williamsburg,off,Foothills,02/21,"4680 Monticello Ave Suite 15, Williamsburg, VA 23188",37.2719211,-76.7595155
Blacksburg Wine Lab,on,Foothills,02/21,"223 Gilbert Street, Blacksburg, VA 24060",37.2331803,-80.4212379
"Green Room, The",on,Young Wine,02/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
"Green Room, The",on,Young Wine,02/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
Zynodoa,on,Eluvium,02/21,"115 E Beverly St, Staunton, VA 24401",38.149814,-79.0709713
Caboose,on/off,Foothills,02/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Whole Foods - Charlottesville,on/off,Foothills,02/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
"Wool Factory, The",on/off,Foothills,02/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Crystal City Wine Shop,off,Foothills,02/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Mom's Apple Pie - Hill High,off,Eluvium,02/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Mom's Apple Pie - Occoquan,off,Eluvium,02/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Mom's Apple Pie - Occoquan,off,Petit Manseng,02/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Mom's Apple Pie - Occoquan,off,Young Wine,02/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Vanderbilt Wine Merchants,off,Young Wine,02/21,"573 Vanderbilt Ave, Broooklyn, NY 10013",40.6805749,-73.9674951
