Account,On/Off,Address,Region,City,State,Name Zip,Memo,Month,Btl / Keg Qty,750 Ml Equiv,9L CS Equiv,9L CS Equiv,Purchase Price,Total Sales
1310 Kitchen & Bar,on,1310 Wisconsin Ave NW,DC,Washington,DC,20007,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/3/2019,16,16,1.33,,,
2941,on,2941 Fairview Park Dr,NoVA,Falls Church,VA,22042,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/17/2019,6,6,0.5,,,
313 Franklin,on ,313 Franklin Street,Valley/Western,South Hill,VA,23970,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/20/2020,12,12,1,,,
313 Franklin,on ,313 Franklin Street,Valley/Western,South Hill,VA,23970,Early Mountain Vineyards Virginia Chardonnay 2017,2/20/2020,12,12,1,,,
313 Franklin,on ,313 Franklin Street,Valley/Western,South Hill,VA,23970,Early Mountain Vineyards Virginia Petit Manseng 2018,2/20/2020,12,12,1,,,
313 Franklin,on ,313 Franklin Street,Valley/Western,South Hill,VA,23970,"Early Mountain Vineyards Virginia Red ""Foothills"" 2018",2/20/2020,12,12,1,,,
7 DRAYTON ST HOTEL ,On ,7 Drayton Street,Savannah,Savannah,GA,31401,EARLY MOUNTAIN VINEYARDS FIVE FORKS WHITE BLEND 2018,2019-11,36,36,3,,,
A Pimento Catering,on,1304-C E Market St.,Charlottesville,Charlottesville,VA,22902,"Early Mountain Vineyards Virginia White ""Five Forks"" 2018",10/9/2019,48,48,4,,,
A Rake's Progress,on,A Rake's Progress,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2017,11/7/2019,36,36,3,,,
A Rake's Progress,on,A Rake's Progress,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,12/5/2019,25,25,2.08,,,
A Rake's Progress,on,A Rake's Progress,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,1/10/2020,36,36,3,,,
A Rake's Progress,on,A Rake's Progress,DC,Washington,DC,20009,Early Mountain Vineyards Shenandoah Valley Cabernet Franc 2018,2/11/2020,36,36,3,,,
Acacia - Midtown,On,2601 West Cary St.,Richmond,Richmond,VA,23220,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",11/20/2019,6,6,0.5,,,
Acacia - Midtown,On,2601 West Cary St.,Richmond,Richmond,VA,23220,Early Mountain Vineyards Virginia Chardonnay 2017,12/4/2019,3,3,0.25,,,
Acacia - Midtown,On,2601 West Cary St.,Richmond,Richmond,VA,23220,"Early Mountain Vineyards Virginia Red ""Eluvium"" 2016",12/4/2019,3,3,0.25,,,
Ace Beverage,off,3301 New Mexico Ave NW,DC,Washington,DC,20016,"Early Mountain Vineyards Virginia Red ""Foothills"" 2017",10/10/2019,36,36,3,12,432,
Ace Beverage,off,3301 New Mexico Ave NW,DC,Washington,DC,20016,Early Mountain Vineyards Virginia Chardonnay 2017,11/7/2019,36,36,3,,,
Alewife,on,3120 E Marshall St.,Richmond,Richmond,VA,23223-7437,Early Mountain Vineyards Virginia Pétillant Naturel Red 2018,10/4/2019,6,6,0.5,16.67,100,
Alewife,on,3120 E Marshall St.,Richmond,Richmond,VA,23223-7437,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",11/13/2019,4,4,0.33,,,
Alewife,on,3120 E Marshall St.,Richmond,Richmond,VA,23223-7437,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",1/31/2020,4,4,0.33,,,
Alewife,on,3120 E Marshall St.,Richmond,Richmond,VA,23223-7437,"Early Mountain Vineyards Virginia ""Young Wine"" Chambourcin 2018",2/12/2020,4,4,0.33,,,
